Date,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Distance from Maumee Inlet (km),Shore Distance (euc dis),CTD Temperature (°C)_2wks,CTD Temperature (°C)_4wks,CTD Temperature (°C)_6wks,CTD Dissolved Oxygen (mg/L)_2wks,CTD Dissolved Oxygen (mg/L)_4wks,CTD Dissolved Oxygen (mg/L)_6wks,Total Phosphorus (µg P/L)_2wks,Total Phosphorus (µg P/L)_4wks,Total Phosphorus (µg P/L)_6wks,Total Dissolved Phosphorus (µg P/L)_2wks,Total Dissolved Phosphorus (µg P/L)_4wks,Total Dissolved Phosphorus (µg P/L)_6wks,Soluble Reactive Phosphorus (µg P/L)_2wks,Soluble Reactive Phosphorus (µg P/L)_4wks,Soluble Reactive Phosphorus (µg P/L)_6wks,Ammonia (µg N/L)_2wks,Ammonia (µg N/L)_4wks,Ammonia (µg N/L)_6wks,Nitrate + Nitrite (mg N/L)_2wks,Nitrate + Nitrite (mg N/L)_4wks,Nitrate + Nitrite (mg N/L)_6wks,N:P Mass Ratio_2wks,N:P Mass Ratio_4wks,N:P Mass Ratio_6wks,Particulate Microcystin (µg/L)
2012-05-20,0,0,1,0,0,0,0,0,26.88788789750815,0.12923821733789065,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,8.25,8.25,8.25,4.61,4.61,4.61,2.02,2.02,2.02,28.789999999999996,28.789999999999996,28.789999999999996,0.325,0.325,0.325,39.393939393939384,39.393939393939384,39.393939393939384,0.09999999999999999
2012-05-20,0,0,1,0,0,0,0,0,6.736833349390673,0.01552049498464253,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,22.52,22.52,22.52,9.659999999999998,9.659999999999998,9.659999999999998,2.97,2.97,2.97,35.699999999999996,35.699999999999996,35.699999999999996,0.515,0.515,0.515,22.868561278863236,22.868561278863236,22.868561278863236,0.09999999999999999
2012-05-20,0,0,1,0,0,0,0,0,17.512664494626765,0.03562692672196859,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,23.16,23.16,23.16,6.009999999999999,6.009999999999999,6.009999999999999,3.02,3.02,3.02,11.28,11.28,11.28,0.513,0.513,0.513,22.150259067357513,22.150259067357513,22.150259067357513,0.09999999999999999
2012-05-27,0,0,1,0,0,0,0,0,6.7062571091550405,0.015056598058363522,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,22.520000000000003,22.520000000000003,22.520000000000003,9.659999999999998,9.659999999999998,9.659999999999998,2.9699999999999998,2.9699999999999998,2.9699999999999998,35.699999999999996,35.699999999999996,35.699999999999996,0.515,0.515,0.515,22.868561278863236,22.868561278863236,22.868561278863236,0.09999999999999999
2012-05-27,0,0,1,0,0,0,0,0,26.880183441419824,0.129284763091751,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,8.25,8.25,8.25,4.61,4.61,4.61,2.02,2.02,2.02,28.789999999999996,28.789999999999996,28.789999999999996,0.325,0.325,0.325,39.393939393939384,39.393939393939384,39.393939393939384,0.09999999999999999
2012-05-27,0,0,1,0,0,0,0,0,17.56266037493,0.03545056830060611,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,23.16,23.16,23.16,6.009999999999999,6.009999999999999,6.009999999999999,3.02,3.02,3.02,11.28,11.28,11.28,0.513,0.513,0.513,22.150259067357517,22.150259067357517,22.150259067357517,0.09999999999999999
2012-06-03,0,0,0,1,0,0,0,0,26.877804666496587,0.12929548749482006,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,8.860714285714286,8.25,8.25,4.331428571428572,4.61,4.61,1.799017857142857,2.02,2.02,26.994017857142858,28.789999999999996,28.789999999999996,0.32473214285714286,0.325,0.325,37.49493090827985,39.393939393939384,39.393939393939384,0.09999999999999999
2012-06-03,0,0,0,1,0,0,0,0,6.683747801811111,0.014730499425666411,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,29.827142857142857,22.520000000000003,22.520000000000003,11.184107142857142,9.659999999999998,9.659999999999998,3.5137499999999995,2.9699999999999998,2.9699999999999998,33.57321428571429,35.699999999999996,35.699999999999996,0.6940625,0.515,0.515,23.023707306341446,22.868561278863236,22.868561278863236,0.09999999999999999
2012-06-03,0,0,0,1,0,0,0,0,17.61925813059761,0.03517668664129504,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,25.755535714285713,23.16,23.16,7.706874999999999,6.009999999999999,6.009999999999999,4.060625,3.02,3.02,16.752321428571427,11.28,11.28,0.5238482142857144,0.513,0.513,21.053795169748366,22.150259067357517,22.150259067357517,0.09999999999999999
2012-06-03,0,0,0,1,0,0,0,0,13.572215292883168,0.055231151681580895,22.5,22.5,22.250000000000004,7.685714285714284,7.700000000000001,7.783035714285714,42.01,42.01,42.01,12.29,12.29,12.29,5.15,5.15,5.15,14.68,14.68,14.68,0.466,0.466,0.466,11.092597000714116,11.092597000714116,11.092597000714116,0.1
